%Automatically built ARFF-file
%Feature sets: ['max_sentiment', 'min_sentiment', 'avg_sentiment_no_neutral', 'baseline', 'avg_sentiment_no_neutral_unigrams']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE avg_sentiment_no_neutral_unigrams NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"-", "+"}

@DATA
?,0.654914615385,0.55698025641,0.5,0.5,"+"
?,0.645835,0.557871666667,0.5,0.5,"+"
?,0.449996666667,0.51452,0.5,0.5,"+"
0.73611,0.5243075,0.510522424242,0.73611,0.5,"+"
?,0.3819425,0.4908853125,0.5,0.45833,"+"
?,0.6875,0.5211116,0.5,0.5,"+"
0.72222,0.72222,0.517628461538,0.72222,0.5,"+"
?,0.541665,0.503135806452,0.5,0.45833,"+"
?,0.301853333333,0.483586363636,0.5,0.5,"+"
0.625,0.64352,0.519841428571,0.625,0.5,"+"
?,0.51389,0.510212058824,0.52778,0.5,"-"
0.61111,0.58854375,0.5300008,0.61111,0.5,"-"
0.875,0.700002,0.544082608696,0.875,0.5,"+"
0.86111,0.569444,0.5138885,0.86111,0.5,"+"
?,0.453703333333,0.501487857143,0.5,0.41667,"+"
?,0.65972,0.531944,0.5,0.5,"+"
0.625,0.58135,0.524305833333,0.625,0.5,"+"
?,0.6458325,0.548610833333,0.5,0.5,"+"
0.75,0.590275,0.517093461538,0.75,0.5,"+"
0.625,0.81944,0.5147575,0.625,0.5,"-"
?,0.61111,0.518056,0.5,0.5,"+"
0.75,0.527776666667,0.506944230769,0.75,0.5,"+"
0.95833,0.604165,0.549602857143,0.95833,0.5,"+"
?,0.694445,0.542361,0.5,0.5,"+"
?,0.58333,0.507275238095,0.55556,0.5,"+"
?,0.63492,0.525463125,0.5,0.5,"+"
0.76389,0.736115,0.544192727273,0.76389,0.5,"+"
0.83333,0.61458375,0.534050322581,0.83333,0.5,"+"
?,0.481943333333,0.516812894737,0.5,0.45833,"+"
0.61111,0.680555,0.54902,0.61111,0.5,"+"
0.75,0.569444,0.533495882353,0.75,0.5,"+"
?,0.7048625,0.5256078125,0.55556,0.5,"+"
0.68056,0.72222,0.560185,0.68056,0.5,"+"
0.68056,0.440736666667,0.5208325,0.68056,0.5,"+"
?,0.375,0.493055,0.5,0.5,"+"
?,0.555556666667,0.513889268293,0.51389,0.5,"-"
0.77778,0.763886666667,0.517045454545,0.77778,0.5,"+"
0.66667,0.675926666667,0.539930625,0.66667,0.5,"+"
0.77778,0.638886666667,0.527777692308,0.77778,0.5,"+"
0.625,?,0.506945,0.625,0.5,"+"
?,0.5208325,0.506312727273,0.5,0.5,"+"
?,0.61111,0.532406666667,0.5,0.5,"+"
?,0.541665,0.513888333333,0.5,0.40278,"+"
0.73611,0.608332,0.528408636364,0.73611,0.5,"+"
?,0.83333,0.523148333333,0.54167,0.5,"+"
0.76389,0.407406666667,0.4934896875,0.76389,0.5,"+"
0.68056,0.689816666667,0.527199166667,0.68056,0.5,"+"
0.73611,0.572222,0.520531304348,0.73611,0.5,"+"
?,0.74537,0.5360246875,0.55556,0.5,"+"
?,0.314816666667,0.453373571429,0.58333,0.5,"-"
?,0.75926,0.554738823529,0.51389,0.5,"+"
?,0.76389,0.543981666667,0.5,0.5,"+"
?,0.541665,0.5,0.5,0.5,"+"
0.26389,0.541665,0.499999375,0.5,0.26389,"+"
?,0.731481111111,0.5877776,0.5,0.5,"+"
0.80556,0.7152775,0.54798,0.80556,0.5,"+"
0.97222,0.7986125,0.547123571429,0.97222,0.5,"+"
?,0.63889,0.513889,0.5,0.5,"-"
?,0.493055,0.508333666667,0.5,0.5,"+"
0.875,0.875,0.546875,0.875,0.5,"+"
?,0.75,0.535714285714,0.5,0.5,"+"
?,0.631945,0.519345714286,0.5,0.5,"+"
0.75,0.694445,0.538461538462,0.75,0.5,"+"
?,0.68287,0.544973809524,0.5,0.5,"+"
0.81944,0.76389,0.554862,0.81944,0.51389,"+"
